"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","29553072.6256983","45139664.8044693","87374301.6759776","107486033.519553","155474860.335196","878770949.72067","1069217877.09497","1154357541.89944","1296759776.53631","1346145251.39665","1734860335.19553","1728324022.34637","1164469273.74302","282519553.072626","234692737.430168","191899441.340782","223798882.681564","159273743.01676","3434581005.58659","4416215839.35408","4717024446.35535","5206592178.77095","5456592178.77095","1951843575.41899","264525139.664804","5180167597.76536","1388882681.56425","278988734.078212","258945444.692737","332533356.424581","283108015.083799","",
"Afghanistan","AFG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","493700000","705200000","690800000","707800000","728800000","787700000","628200000","497000000","538700000","453800000","252300000","","","","","","","","","","","","","","","","","","","391919588.23","408804926.27","435852018.55","461074368.71","475892685.177909","507117543.17849","644159374.660816","580124587.734545","619140554.055707","796461228.986291",
"Angola","AGO","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2301000000","1346000000","2322000000","2492000000","3014000000","3883900000","3449300000","3832800000","2900500000","3016600000","3722700000","5095000000","5006760000","3542870000","5156530000","7920710000","6534320000","8327889093","9508176643","13475002110","24109411611","31862236056","44396193769","63913941114","40827945315.81","50594853215.38","67310283732.3282","71093269879.5401","68246518070.6135","59169884894.9568","33181130225.6441","27588875075.4791","",
"Albania","ALB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","367200000","418000000","359900000","341000000","319100000","303500000","311300000","311200000","344600000","393700000","322100000","73000000","70000000","111600000","141300000","204900000","243700000","90900000","100670000","91700000","95200000","109500000","85180000","100716315.535505","149032362.106163","194117835.566333","223619399.423828","359838411.991624","546008051.999825","403218380.83564","739540422.179036","961838749.239964","1123710264.05806","1417814863.73339","1239541101.91646","854995387.012769","789063816.258241","900656084.275389",
"Andorra","AND","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","120873245840.137","116505000635.356","182469227246.606","279010973282.763","282097105887.87","207801657336.664","158824838159.737","145566769430.149","126531380154.915","87742360136.0846","99940996065.9268","99464754870.1361","122864077498.663","161699616068.069","153962204280.216","167039667983.905","155830045368.691","160559985982.054","183908471562.466","212245250544.384","212544178646.975","150348970938.981","188787189897.307","277101241953.233","252384290126.315","262233244370.839","325635864556.446","427974444144.92","604691587382.004","723444144005.441","828507582624.76","1126120362288.8","715667594668.233","909433498779.152","1214635768167.89","1366542537929.02","1321657378570.55","1196951574131.7","725461848774.304","613980362268.04","",
"United Arab Emirates","ARE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","3918000000","5651000000","6401000000","7810000000","8021000000","9143000000","7623000000","7835000000","8100000000","8396000000","6852000000","6360000000","9134000000","9573000000","12354000000","11978000000","12397400000","13262600000","16026700000","21141832000","24034600000","26420900000","26408700000","23287800000","26337200000","26528000000","25634300000","29950400000","34588800000","40434150000","46617500000","56076562000","70159472000","55790984000","68305873000","83119709000","80083655000","75928228361.0699","68440435907","56809053493","57930194555.22","58448718646.91",
"Armenia","ARM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156190000","215350000","275019740","292039423","233966582","232508497","246894782","313760102","369336820","554555704","724987013","770352079.78","1028698417","1052970724","1204225219","1106287496","773615111","1197479193.0037","1431559506.23018","1515701954.51278","1635856170.26272","1698148849.62406","1623898609.17599","1890685338.90889","2378300019.5871",
"American Samoa","ASM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
