Party,Votes,Votes %,Seats,Seats %
La République En Marche!,7826245,43.06,308,53.38
Democratic Movement,1100656,6.06,42,7.28
The Republicans,4040203,22.23,112,19.41
Union of Democrats and Independents,551784,3.04,18,3.12
Miscellaneous right,306074,1.68,6,1.04
Socialist Party,1032842,5.68,30,5.2
Miscellaneous left,263488,1.45,12,2.08
Radical Party of the Left,64860,0.36,3,0.52
La France Insoumise,883573,4.86,17,2.95
French Communist Party,217833,1.2,10,1.73
National Front,1590869,8.75,8,1.39
Regionalists,137490,0.76,5,0.87
Miscellaneous,100574,0.55,3,0.52
Ecologists,23197,0.13,1,0.17
Debout la France,17344,0.1,1,0.17
Far-right,19034,0.1,1,0.17
Europe Ecology – The Greens,0,0,0,0
Union for a Popular Movement,0,0,0,0
New Centre,0,0,0,0
Left Front,0,0,0,0
Centre for France,0,0,0,0
Centrist Alliance,0,0,0,0
Radical Party,0,0,0,0
