,Party,Votes,Votes %,Seats,Seats %
0,New Flemish Alliance,1366414,20.26,33,22
1,Socialist Party,787165,11.67,23,15.3333333333333
2,Christian Democratic & Flemish,783060,11.61,18,12
3,Open Flemish Liberals and Democrats,659582,9.78,14,9.33333333333333
4,Reformist Movement,650290,9.64,20,13.3333333333333
5,Socialist Party – Differently,595486,8.83,13,8.66666666666667
6,Green!,358947,5.32,6,4
7,Humanist Democratic Centre,336281,4.99,9,6
8,Workers Party,251289,3.72,2,1.33333333333333
9,Flemish Interest,247746,3.67,3,2
10,Ecolo,222551,3.3,6,4
11,Francophone Democratic Federalists,121403,1.8,2,1.33333333333333
12,Peoples Party,102599,1.51,1,0.666666666666667
13,Libertarian Direct Democratic,28414,0.42,0,0
