,Party,Votes,Votes %,Seats,Seats %
0,La République En Marche!,7826245,43.06,308,53.379549393414216
1,Democratic Movement,1100656,6.06,42,7.279029462738301
2,The Republicans,4040203,22.23,112,19.410745233968804
3,Union of Democrats and Independents,551784,3.04,18,3.119584055459272
4,Miscellaneous right,306074,1.68,6,1.0398613518197575
5,Socialist Party,1032842,5.68,30,5.1993067590987865
6,Miscellaneous left,263488,1.45,12,2.079722703639515
7,Radical Party of the Left,64860,0.36,3,0.5199306759098787
8,La France Insoumise,883573,4.86,17,2.946273830155979
9,French Communist Party,217833,1.2,10,1.733102253032929
10,National Front,1590869,8.75,8,1.386481802426343
11,Regionalists,137490,0.76,5,0.8665511265164645
12,Miscellaneous,100574,0.55,3,0.5199306759098787
13,Ecologists,23197,0.13,1,0.17331022530329288
14,Debout la France,17344,0.1,1,0.17331022530329288
15,Far-right,19034,0.1,1,0.17331022530329288
16,Europe Ecology – The Greens,0,0.0,0,0.0
17,Union for a Popular Movement,0,0.0,0,0.0
18,New Centre,0,0.0,0,0.0
19,Left Front,0,0.0,0,0.0
20,Centre for France,0,0.0,0,0.0
21,Centrist Alliance,0,0.0,0,0.0
22,Radical Party,0,0.0,0,0.0
