,Party,Votes,Votes %,Seats,Seats %
0,Five Star Movement,10732066,32.68,133,34.4559585492228
1,Democratic Party,6161896,18.76,86,22.279792746114
2,League,5698687,17.35,73,18.9119170984456
3,Forza Italia,4596956,14,59,15.2849740932642
4,Brothers of Italy,1429550,4.35,19,4.92227979274611
5,Free and Equal,1114799,3.39,14,3.62694300518135
6,SVP–PATT,134651,0.41,2,0.518134715025907
7,Left Ecology Freedom,0,0,0,0
8,Democratic Centre,0,0,0,0
9,South Tyrolean Peoples Party,0,0,0,0
10,The People of Freedom,0,0,0,0
11,Northern League,0,0,0,0
12,Civic Choice,0,0,0,0
13,Union of the Centre,0,0,0,0
