,Party,Votes,Votes %,Seats,Seats %
0,Peoples Party for Freedom and Democracy,2238351,21.3,33,22
1,Party for Freedom,1372941,13.1,20,13.3333333333333
2,Christian Democratic Appeal,1301796,12.4,19,12.6666666666667
3,Democrats 66,1285819,12.2,19,12.6666666666667
4,GroenLinks,959600,9.1,14,9.33333333333333
5,Socialist Party,955633,9.1,14,9.33333333333333
6,Labour Party,599699,5.7,9,6
7,Christian Union,356271,3.4,5,3.33333333333333
8,Party for the Animals,335214,3.2,5,3.33333333333333
9,50PLUS,327131,3.1,4,2.66666666666667
10,Reformed Political Party,218950,2.1,3,2
11,Denk,216147,2.1,3,2
12,Forum for Democracy,187162,1.8,2,1.33333333333333
