,Party,Votes,Votes %,Seats,Seats %
0,Direction – Social Democracy,737481,28.28,49,32.666666666666664
1,Freedom and Solidarity,315558,12.1,21,14.000000000000002
2,Ordinary People and Independent Personalities,287611,11.03,19,12.666666666666668
3,Slovak National Party,225386,8.64,15,10.0
4,'People''s Party Our Slovakia',209779,8.04,14,9.333333333333334
5,We Are Family,172860,6.63,11,7.333333333333333
6,Most–Híd,169593,6.5,11,7.333333333333333
7,Network,146205,5.61,10,6.666666666666667
8,Christian Democratic Movement,128908,4.94,0,0.0
9,Slovak Democratic and Christian Union - Democratic Party,6938,0.27,0,0.0
