,Party,Votes,Votes %,Seats,Seats %
0,'People''s Party (PP)',7941236,33.01,137,39.1428571428571
1,'Spanish Socialist Workers'' Party (PSOE)',5443846,22.63,85,24.2857142857143
2,United We Can,5087538,21.15,71,20.2857142857143
3,'Citizens–Party of the Citizenry (C''s)',3141570,13.06,32,9.14285714285714
4,Democracy and Freedom (DiL),483488,2.01,8,2.28571428571429
5,Basque Nationalist Party (EAJ/PNV),287014,1.19,5,1.42857142857143
6,Basque Country Unite (EH Bildu),184713,0.77,2,0.571428571428571
7,Canarian Coalition–Canarian Nationalist Party (CCa–PNC),78253,0.33,1,0.285714285714286
8,Republican Left–Catalonia Yes (ERC–CatSí),639652,2.66,9,2.57142857142857
9,United Left–Popular Unity in Common (IU–UPeC),0,0,0,0
