,Party,Votes,Votes %,Seats,Seats %
0,'Swiss People''s Party',740967,29.4,65,32.663316582914575
1,Social Democratic Party,475071,18.8,43,21.608040201005025
2,FDP.The Liberals,413444,16.4,33,16.582914572864322
3,'Christian Democratic People''s Party',293653,11.6,27,13.5678391959799
4,Green Party,177944,7.1,11,5.527638190954774
5,Green Liberal Party,116641,4.6,7,3.5175879396984926
6,Conservative Democratic Party,103476,4.1,7,3.5175879396984926
7,'Evangelical People''s Party',47908,1.9,2,1.0050251256281406
8,Ticino League,25215,1.0,2,1.0050251256281406
9,Swiss Party of Labour,10086,0.4,1,0.5025125628140703
10,'Geneva Citizens'' Movement',7564,0.3,1,0.5025125628140703
