,Party,Votes,Votes %,Seats,Seats %
0,Conservative Party,13636684,42.4,317,48.9197530864198
1,Labour Party,12878460,40,262,40.4320987654321
2,Scottish National Party,977569,3,35,5.40123456790123
3,Liberal Democrats,2371910,7.4,12,1.85185185185185
4,Democratic Unionist Party,292316,0.9,10,1.54320987654321
5,Sinn Féin,238915,0.7,7,1.08024691358025
6,Plaid Cymru,164466,0.5,4,0.617283950617284
7,Green Party,525435,1.6,1,0.154320987654321
8,Social Democratic & Labour Party,95419,0.3,0,0
9,Ulster Unionist Party,83280,0.3,0,0
10,UK Independence Party,594068,1.8,0,0
