,Party,Votes,Votes %,Seats,Seats %
0,New Flemish Alliance,1135617,17.4,27,18.0
1,Socialist Party,894543,13.7,26,17.333333333333336
2,Christian Democratic & Flemish,707986,10.85,17,11.333333333333332
3,Reformist Movement,605617,9.28,18,12.0
4,Socialist Party – Differently,602867,9.24,13,8.666666666666668
5,Open Flemish Liberals and Democrats,563873,8.64,13,8.666666666666668
6,Flemish Interest,506697,7.76,12,8.0
7,Humanist Democratic Centre,360441,5.52,9,6.0
8,Ecolo,313047,4.8,8,5.333333333333334
9,Green!,285989,4.38,5,3.3333333333333335
10,Libertarian Direct Democratic,150577,2.31,1,0.6666666666666667
11,'People''s Party',84005,1.29,1,0.6666666666666667
12,'Workers'' Party',101088,1.55,0,0.0
13,Francophone Democratic Federalists,0,0.0,0,0.0
