,Party,Votes,Votes %,Seats,Seats %
0,People's Party for Freedom and Democracy,2504948,26.6,41,27.333333333333332
1,Labour Party,2340750,24.8,38,25.333333333333336
2,Party for Freedom,950263,10.1,15,10.0
3,Socialist Party,909853,9.7,15,10.0
4,Christian Democratic Appeal,801620,8.5,13,8.666666666666668
5,Democrats 66,757091,8.0,12,8.0
6,Christian Union,294586,3.1,5,3.3333333333333335
7,GroenLinks,219896,2.3,4,2.666666666666667
8,Reformed Political Party,196780,2.1,3,2.0
9,Party for the Animals,182162,1.9,2,1.3333333333333335
10,50PLUS,177631,1.9,2,1.3333333333333335
11,Denk,0,0.0,0,0.0
12,Forum for Democracy,0,0.0,0,0.0
