,Party,Votes,Votes %,Seats,Seats %
0,Direction – Social Democracy,1134280,44.41,83,55.333333333333336
1,Christian Democratic Movement,225361,8.82,16,10.666666666666668
2,Ordinary People and Independent Personalities,218537,8.55,16,10.666666666666668
3,Most–Híd,176088,6.89,13,8.666666666666668
4,Slovak Democratic and Christian Union - Democratic Party,155744,6.09,11,7.333333333333333
5,Freedom and Solidarity,150266,5.88,11,7.333333333333333
6,Slovak National Party,116420,4.55,0,0.0
7,'People''s Party Our Slovakia',40460,1.58,0,0.0
8,We Are Family,3836,0.15,0,0.0
9,Network,0,0.0,0,0.0
