,Party,Votes,Votes %,Seats,Seats %
0,'People''s Party (PP)',7236965,28.71,123,35.14285714285714
1,'Spanish Socialist Workers'' Party (PSOE)',5545315,22.0,90,25.71428571428571
2,United We Can,5212711,20.68,69,19.714285714285715
3,'Citizens–Party of the Citizenry (C''s)',3514528,13.94,40,11.428571428571429
4,United Left–Popular Unity in Common (IU–UPeC),926783,3.68,2,0.5714285714285714
5,Republican Left–Catalonia Yes (ERC–CatSí),604285,2.4,9,2.571428571428571
6,Democracy and Freedom (DiL),567253,2.25,8,2.2857142857142856
7,Basque Nationalist Party (EAJ/PNV),302316,1.2,6,1.7142857142857144
8,Basque Country Unite (EH Bildu),219125,0.87,2,0.5714285714285714
9,Canarian Coalition–Canarian Nationalist Party (CCa–PNC),81917,0.32,1,0.2857142857142857
