,Party,Votes,Votes %,Seats,Seats %
0,Conservative Party,11299609,36.8,330,50.76923076923077
1,Labour Party,9347273,30.4,232,35.69230769230769
2,Scottish National Party,1454436,4.7,56,8.615384615384615
3,Liberal Democrats,2415916,7.9,8,1.2307692307692308
4,Democratic Unionist Party,184260,0.6,8,1.2307692307692308
5,Sinn Féin,176232,0.6,4,0.6153846153846154
6,Plaid Cymru,181704,0.6,3,0.46153846153846156
7,Social Democratic & Labour Party,99809,0.3,3,0.46153846153846156
8,Ulster Unionist Party,114935,0.4,2,0.3076923076923077
9,UK Independence Party,3881099,12.6,1,0.15384615384615385
10,Green Party,1111603,3.6,1,0.15384615384615385
11,Speaker,34617,0.1,1,0.15384615384615385
12,Independent,17689,0.06,1,0.15384615384615385
