,Party,Votes,Votes %,Seats,Seats %
0,Socialist Party,9420889,40.91,280,48.52686308492201
1,Miscellaneous left,709395,3.08,22,3.8128249566724435
2,Europe Ecology – The Greens,829036,3.6,17,2.946273830155979
3,Radical Party of the Left,538331,2.34,12,2.079722703639515
4,Union for a Popular Movement,8740628,37.95,194,33.62218370883882
5,Miscellaneous right,417940,1.81,15,2.5996533795493932
6,New Centre,568319,2.47,12,2.079722703639515
7,Radical Party,311211,1.35,6,1.0398613518197575
8,Centrist Alliance,123132,0.53,2,0.34662045060658575
9,Left Front,249498,1.08,10,1.733102253032929
10,National Front,842695,3.66,2,0.34662045060658575
11,Centre for France,113196,0.49,2,0.34662045060658575
12,Regionalists,135312,0.59,2,0.34662045060658575
13,Far-right,29738,0.13,1,0.17331022530329288
14,La République En Marche!,0,0.0,0,0.0
15,Democratic Movement,0,0.0,0,0.0
16,The Republicans,0,0.0,0,0.0
17,Union of Democrats and Independents,0,0.0,0,0.0
18,La France Insoumise,0,0.0,0,0.0
19,French Communist Party,0,0.0,0,0.0
20,Miscellaneous,0,0.0,0,0.0
21,Ecologists,0,0.0,0,0.0
22,Debout la France,0,0.0,0,0.0
