,Party,Votes,Votes %,Seats,Seats %
0,Peoples Party for Freedom and Democracy,2504948,26.6,41,27.3333333333333
1,Labour Party,2340750,24.8,38,25.3333333333333
2,Party for Freedom,950263,10.1,15,10
3,Socialist Party,909853,9.7,15,10
4,Christian Democratic Appeal,801620,8.5,13,8.66666666666667
5,Democrats 66,757091,8,12,8
6,Christian Union,294586,3.1,5,3.33333333333333
7,GroenLinks,219896,2.3,4,2.66666666666667
8,Reformed Political Party,196780,2.1,3,2
9,Party for the Animals,182162,1.9,2,1.33333333333333
10,50PLUS,177631,1.9,2,1.33333333333333
11,Denk,0,0,0,0
12,Forum for Democracy,0,0,0,0
