,Party,Votes,Votes %,Seats,Seats %
0,'Swiss People''s Party',648675,26.6,54,27.1356783919598
1,Social Democratic Party,457317,18.7,46,23.115577889447238
2,FDP.The Liberals,368951,15.1,30,15.07537688442211
3,'Christian Democratic People''s Party',300544,12.3,28,14.07035175879397
4,Green Party,205984,8.4,15,7.537688442211055
5,Green Liberal Party,131436,5.4,12,6.030150753768844
6,Conservative Democratic Party,132279,5.4,9,4.522613065326634
7,'Evangelical People''s Party',48789,2.0,2,1.0050251256281406
8,Ticino League,19657,0.8,2,1.0050251256281406
9,'Geneva Citizens'' Movement',10714,0.4,1,0.5025125628140703
10,Swiss Party of Labour,21482,0.5,0,0.0
